index,molecule,actual,average_prediction,standard_deviation
298,KCs,1.86,1.8597829539311672,0.003808710274716573
299,KCs,1.86,1.8610193079726975,0.0036301972624717344
300,KF,8.59255,8.582252652083403,0.021849889081672322
301,KF,8.59255,8.593261538330978,0.022093197058020774
302,KFr,0.91,0.9076640230828229,0.003262938199341958
303,KFr,0.91,0.9073677812354188,0.003229709504746957
304,KI,10.82,10.815229572821853,0.007253454461198569
305,KI,10.82,10.82245228753363,0.007495881461731423
306,KMg,0.86,0.8595687069182284,0.0017339692633204756
307,KMg,0.86,0.8601160560541341,0.0016957556853208467
308,KRa,0.5,0.5019729557467006,0.0026813445519304493
309,KRa,0.5,0.5024792185559377,0.0026257435074373385
310,KRb,0.63,0.6310267053176339,0.003582997557680931
311,KRb,0.63,0.6298125225511897,0.0033089417262867405
312,KSr,1.4,1.39771032044244,0.0020022402529735936
313,KSr,1.4,1.3989623197035106,0.0019693300791637594
314,LaO,3.207,3.2638657640400157,0.028850235514295886
315,LaO,3.207,3.194964431201331,0.018408943797028524
316,LiBa,0.51,0.5122471336080893,0.003418585064643017
317,LiBa,0.51,0.5145772541978085,0.003264855719301148
318,LiBe,3.6,3.597410214927479,0.004109475662511128
319,LiBe,3.6,3.601222864787151,0.003935705004679653
320,LiBr,7.268,7.267132038237695,0.005969974586960677
321,LiBr,7.268,7.27361511723274,0.006406762088564067
322,LiCa,1.15,1.1497388258595134,0.0023339373895843564
323,LiCa,1.15,1.14904485392148,0.002273412014640843
324,LiCl,7.1289,7.1310834942039545,0.009176286088149544
325,LiCl,7.1289,7.12776577868477,0.008142706461875785
326,LiCs,5.28,5.2790877729177215,0.0026024089388288624
327,LiCs,5.28,5.279329632384838,0.0025190041735167154
328,LiF,6.32736,6.346478216229336,0.02077938014474456
329,LiF,6.32736,6.354133518233019,0.021531165256729486
330,LiFr,4.24,4.238219549183478,0.0036373725014520694
331,LiFr,4.24,4.241259133859902,0.0036062147557490458
332,LiH,5.8836,5.885789175456083,0.0092950399510151
333,LiH,5.8836,5.884360847660168,0.009264974602582111
334,LiI,7.4285,7.432756192976035,0.004695335904794595
335,LiI,7.4285,7.421826370172811,0.0055111685613695015
336,LiK,3.45,3.448842854815906,0.0031511006341834757
337,LiK,3.45,3.450259135964154,0.0032670865432800887
338,LiMg,1.04,1.040086694011198,0.0017249172353818254
339,LiMg,1.04,1.0408432699071488,0.0016199316497564657
340,LiNa,0.47,0.47656969314040787,0.004405687356600536
341,LiNa,0.47,0.46419347876533956,0.0024943933310913637
342,LiO,6.84,6.87828652358616,0.02842828892797616
343,LiO,6.84,6.793303703768821,0.030919434254213896
344,LiRa,0.89,0.884314536005321,0.003004932335070229
345,LiRa,0.89,0.886492559140845,0.0032382818584684803
346,LiRb,4.0,3.99907153942133,0.002625393992759816
347,LiRb,4.0,4.001566019957628,0.002706234595932987
348,LiSr,0.39,0.39133582771251507,0.002965078069237973
349,LiSr,0.39,0.3933806673206643,0.002839924594847118
350,MgBa,0.002,0.0012592072172607483,0.002040636792726036
351,MgBa,0.002,0.0026147502849035876,0.0020235430383618693
352,MgCa,0.07,0.070004568932739,0.0018959586001989126
353,MgCa,0.07,0.06975412622181788,0.0019263134333858164
354,MgO,6.2,6.1991968493192875,0.0016240823313288435
355,MgO,6.2,6.1991968493192875,0.0016240823313288435
356,MgRa,0.13,0.1299756108360849,0.0026313101046100827
357,MgRa,0.13,0.13006073421895425,0.0026520957318041482
358,MgSr,0.009,0.009365100398658134,0.001794487334881776
359,MgSr,0.009,0.008319559872758989,0.0019328211765602405
360,MoC,6.07,6.069748300743599,0.0022893177477382514
361,MoC,6.07,6.070275373610197,0.0024461800319672813
362,MoN,3.38,3.380231517654346,0.005283010405491168
363,MoN,3.38,3.3780844093203726,0.005630002445400328
364,NaBa,0.08,0.084307834782626,0.0032274841616166715
365,NaBa,0.08,0.08177922917170684,0.003179500748082539
366,NaBe,2.21,2.209662660917028,0.002311610581072185
